,Tense,Modal Type,NP Pattern,Adverb Exists
0,base,,"('DT', 'the', 'NN(sg)')",2
1,base,,NNP(proper),1
2,base,"['opinion', 'advice']","('DT', 'any', 'NN(sg)')",0
3,past participle,,OTHER,3
4,present tense 3rd.sg,,"('DT', 'a', 'JJ', 'NN(sg)')",0
5,future tense,,OTHER,3
6,base,,"('DT', 'the', 'NN(sg)')",3
7,present tense 3rd.sg,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",1
8,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",2
9,base,,NNP(proper),2
10,present participle,,"('DT', 'the', 'NN(sg)')",1
11,past participle,,"('DT', 'this', 'JJ', 'NN(sg)')",1
12,present participle,,"('DT', 'the', 'NN(sg)')",1
13,base,"['possibility', 'request', 'permission']",OTHER,2
14,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
15,present tense 3rd.sg,,OTHER,3
16,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",0
17,present participle,"['obligation', 'certainty']",OTHER,0
18,past participle,,"('DT', 'a', 'NN(sg)')",3
19,past participle,"['ability', 'suggestion', 'request']",NNP(proper),5
20,future tense,"['possibility', 'request', 'permission']",OTHER,6
21,base,"['opinion', 'advice']","('DT', 'every', 'JJ', 'NN(sg)')",0
22,past participle,,"('DT', 'the', 'NN(sg)')",3
23,past participle,,OTHER,4
24,past participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
25,past participle,,"('DT', 'an', 'NN(sg)')",2
26,present participle,"['possibility', 'request', 'permission']","('DT', 'the', 'JJ', 'NN(sg)')",0
27,present tense 3rd.sg,,OTHER,0
28,past participle,,"('DT', 'a', 'JJ', 'NN(sg)')",1
29,past participle,"['possibility', 'request', 'permission']",OTHER,2
30,base,,OTHER JJ,1
31,present participle,,"('DT', 'a', 'NN(sg)')",4
32,past participle,,OTHER,0
33,present participle,,OTHER,1
34,past participle,,OTHER,2
35,present participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",0
36,present tense 3rd.sg,,OTHER,2
37,past participle,,"('DT', 'the', 'NN(sg)')",0
38,past participle,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",3
39,present participle,,"('DT', 'a', 'JJ', 'NN(sg)')",3
40,present participle,"['possibility', 'request', 'permission']","('DT', 'an', 'NN(sg)')",5
41,present participle,[],"('DT', 'a', 'NN(sg)')",0
42,base,,"('DT', 'a', 'NN(sg)')",0
43,present participle,,OTHER,3
44,past participle,,OTHER,2
45,base,"['possibility', 'request', 'permission']",OTHER JJ,1
46,past participle,,"('DT', 'the', 'NN(sg)')",4
47,base,,NNP(proper),2
48,base,,"('DT', 'the', 'NN(sg)')",1
49,base,,OTHER,1
50,present participle,,"('DT', 'a', 'NN(sg)')",1
51,past tense,,"('DT', 'a', 'NN(sg)')",2
52,present participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
53,base,['possibility'],"('DT', 'the', 'NN(sg)')",3
54,past participle,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",2
55,past participle,"['possibility', 'request', 'permission']",OTHER,2
56,present participle,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",0
57,base,"['ability', 'request', 'suggestion']","('DT', 'a', 'NN(sg)')",4
58,present participle,,"('DT', 'an', 'NN(sg)')",1
59,past participle,,"('DT', 'a', 'NN(sg)')",2
60,past participle,,NNP(proper),0
61,past participle,,"('DT', 'a', 'NN(sg)')",2
62,past participle,,NNP(proper),0
63,present participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",2
64,present tense 3rd.sg,,"('DT', 'an', 'NN(sg)')",1
65,past participle,,"('DT', 'the', 'NN(sg)')",4
66,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",3
67,present participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",0
68,past participle,,OTHER JJ,3
69,past participle,"['possibility', 'request', 'permission']",OTHER,0
70,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",2
71,past tense,,"('DT', 'the', 'NN(sg)')",2
72,past participle,,OTHER,0
73,past participle,,OTHER,1
74,past tense,,NNP(proper),0
75,past tense,,"('DT', 'a', 'NN(sg)')",2
76,past participle,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",3
77,base,,NNP(proper),2
78,past participle,,OTHER,1
