Data ID,Sentences,Turk Label
CA-TGA-00000775,"In Sturges v. Crowninshield, decided in Marshall defines obligation of contract as the law which binds the parties to perform their agreement; but a little later the same year he sets forth the points presented for consideration in Trustees of Dartmouth College v. Woodward to be :",0
CA-TGA-00000303,"A tame cat that was highly trained to do anything <a cat> could do, was selected as promising for a black track study, and <her> owner's two boys volunteered to get all the cat tracks I needed.",0
CA-TGA-00000360,"And the coon, pushing it contemptuously away, turned to a pile of fine hand made, deckle edge, heraldry note paper the pride of <my friend 's> heart and when <he> raised <his> inky little paws there were left on the paper some beautiful black prints.",1
CA-TGA-00000831,"It has been observed that <a bee, in gathering pollen>, always confines <herself> to the same kind of flower on which <she> begins, even when that is not so abundant as some others.",1
CA-TGA-00000683,"If <the hunter> hits it, <he> takes ten off <his> score.",1
CA-TGA-00000753,"In explaining the succession which is worked out between buyer and seller for the purpose of creating a prescriptive right, such as a right of way over neighboring land to the land bought and sold, it was shown that <one who, instead of purchasing the land>, had wrongfully possessed <himself> of it by force, would not be treated as a successor, and would get no benefit from the previous use of the way by <his> disseisee.",1
CA-TGA-00000995,"Not only should <the farmer> keep cash accounts, the form may be quite simple, but all <his> business affairs should be kept in the best possible trim.",0
CA-TGA-00001007,On <his> subsequent conviction in which took into account <his> earlier sentence of the defendant was deemed to have had full opportunity to contest the constitutionality of <his> earlier sentence.,0
CA-TGA-00001308,"<The plaintiff> had to do more than simply allege a debt, if <he> would prevent <the defendant> from escaping in that way.",0
CA-TGA-00000970,"Neither our ignorance of all the facts necessary to their full elucidation, nor our inability to harmonize these facts in their mutual relations and dependencies, will justify us in rejecting any truth which <God> has seen fit to reveal, either in the book of nature, or in <His> holy word.",1
CA-TGA-00001569,"You must handle the part injured and <the patient> with the utmost gentleness to avoid making a simple fracture into a compound one, or doing other injury, and also to give <him> as little additional suffering as possible.",1
CA-TGA-00000709,"If they find them even with field glasses, it counts, provided that <the finder> can say definitely who <it> was <he> spotted.",1
CA-TGA-00000648,"If <one> does, then the keeper can tag <him> unless <he> reaches the firing line, and send <him> to do duty as keeper at the rock.",1
CA-TGA-00000424,"But it is also true that <the Amendment> does not prohibit an elector's announcing <his> choice beforehand, pledging <himself>.",1
CA-TGA-00000416,"But <he who is intelligent and prudent> does not act at <his> peril, in theory of law.",0
CA-TGA-00001443,"This is signified by <the patrol leader> holding up <his> patrol flag for the umpire to see, and sounding <his> whistle.",1
CA-TGA-00000178,"Hearing . The necessity and expediency of a taking being legislative questions irrespective of who may be charged with their decision, a hearing thereon need not be afforded; but the mode of determining the compensation payable to <an owner> must be such as to furnish <him> with an opportunity to be heard.",1
CA-TGA-00000502,"<Even the strongest horse> could not pull a wagon with <his> teeth very far, or pull something tied only to the back leg muscles.",0
